pl_name,pl_orbper,pl_orbsmax,pl_radj,st_teff,pl_eqt,st_spectype,pl_radius_earth
TOI-332 b,0.77694,0.0583,0.289,5220.5,2055.5,K0 V,3.235
TOI-220 b,10.69529,0.0949,0.262,5285.355,800.5,K0 V,2.94
CoRoT-24 b,5.1134,0.056,0.33,4950,1070,K1 V,3.7
YSES 2 b,10.35533,57.55035,0.226,5180.5,794,K1 V,2.53
HD 2638 b,3.4488,0.04267,0.226,5330,794,K1 V,2.53
HD 25015 b,6171.249,6.296,0.226,5310.66667,794,K1 V,2.53
CoRoT-24 c,11.759,0.098,0.44,4950,850,K1 V,4.93
K2-138 f,12.75758,0.10506,0.25133,5339.1,747,K1 V,2.81667
K2-138 b,2.35317,0.03382,0.136,5339.1,915,K1 V,1.52333
NGTS-14 A b,3.53572,0.0705,0.4265,5204.5,1089.5,K1 V,4.78
KPS-1 b,1.70632,0.0884,0.474,5207.66667,954.33333,K1 V,5.31167
K2-138 c,3.56002,0.04445,0.21067,5339.1,866.66667,K1 V,2.36
K2-285 e,14.76289,0.18041,0.174,4975,501,K2 V,1.95
WASP-145 A b,1.76903,0.08205,0.57225,5023.75,965.25,K2 V,6.4125
BD+14 4559 b,268.94,0.7785,0.226,4936,794,K2 V,2.53
HD 108341 b,1138.5,2.0145,0.226,5122,794,K2 V,2.53
HD 99492 c,95.233,0.1007,0.226,4929,794,K2 V,2.53
HD 8326 b,158.991,0.533,0.226,4914,794,K2 V,2.53
HD 13808 b,14.1815,0.10519,0.226,5035,794,K2 V,2.53
HD 27894 c,36.07,0.198,0.226,5612,794,K2 V,2.53
HD 13808 c,53.753,0.2554,0.226,5035,794,K2 V,2.53
eps Ind A b,16510,11.55,0.226,5612,794,K2 V,2.53
Kepler-411 e,31.50973,0.186,0.226,5612,503,K2 V,2.53
HIP 35173 b,41.516,0.217,0.226,4881,794,K2 V,2.53
AB Pic b,10.35533,260,0.226,5612,794,K2 V,2.53
WASP-144 b,2.27837,0.08688,0.5692,5218.2,997.6,K2 V,6.378
K2-285 d,10.45582,0.1178,0.221,4975,620,K2 V,2.48
K2-285 c,7.13831,0.09155,0.3185,5059.75,764,K2 V,3.57
HD 40307 d,20.42753,0.13339,0.226,4933.48,709.66667,K3 V,2.53
HD 185283 b,4060,4.6,0.226,5612,794,K3 V,2.53
HD 40307 b,4.31203,0.04727,0.226,4933.48,832.66667,K3 V,2.53
HD 215152 e,25.1967,0.15417,0.226,4935,794,K3 V,2.53
HD 215152 d,10.86499,0.08799,0.226,4935,794,K3 V,2.53
HD 219134 g,94.2,0.3753,0.226,4913,794,K3 V,2.53
HD 219134 h,2084.75,2.91325,0.226,5010.285,794,K3 V,2.53
HD 215152 c,7.28243,0.06739,0.226,4935,794,K3 V,2.53
HD 40307 c,9.61913,0.08074,0.226,4933.48,761.33333,K3 V,2.53
