pl_name,pl_orbper,pl_orbsmax,pl_radj,st_teff,pl_eqt,st_spectype,pl_radius_earth
OGLE-2012-BLG-0724L b,10.35533,1.6,0.226,5612,794,M V,2.53
KMT-2021-BLG-1077L b,10.35533,1.26,0.226,5612,794,M V,2.53
2M0437 b,10.35533,118,0.226,3100,1450,M V,2.53
K2-416 b,13.102,0.088,0.237,3746,447,M V,2.66
K2-417 b,6.535,0.063,0.295,3861,558,M V,3.31
TOI-540 b,1.23915,0.07121,0.131,3158,651.66667,M V,1.46667
HIP 65426 b,10.35533,92,1.5,8840,1500,A2 V,16.82
KELT-20 b,3.47411,0.08567,1.02467,8274.46667,1498,A2 V,11.485
HAT-P-57 b,2.4653,0.08568,0.90125,7207.5,1145.5,A8 V,10.1025
MWC 758 c,10.35533,100,0.226,5612,500,A8Ve,2.53
WASP-172 b,5.47744,0.09287,0.95925,6588.5,1265.75,F1 V,10.7525
WASP-167 b,2.02196,0.09,0.71367,6768.66667,1266.83333,F1 V,7.99833
HD 114082 b,109.75,0.5109,1,6651,794,F3 V,11.21
CoRoT-36 b,5.61653,0.066,1.41,6730,1567,F3 V,15.81
KELT-18 b,2.87171,0.0915,0.6805,6550.33333,1232,F4 V,7.62667
TOI-2152 A b,3.37732,0.07567,1.323,6659,1774,F4 V,14.83
HD 206893 b,9975,10,0.738,6056,1464.5,F5 V,8.27
HIP 21152 b,22500,17.25,0.226,6133.5,1275,F5 V,2.53
HD 111998 b,817.95,1.865,0.226,6084.5,794,F5 V,2.53
HD 103774 b,5.8881,0.07,0.226,6489,794,F5 V,2.53
DMPP-2 b,5.2072,0.0664,0.226,6500,1000,F5 V,2.53
HD 206893 c,2090,3.53,1.46,5612,1182,F5 V,16.37
EPIC 246851721 b,6.18026,0.09123,0.82033,6305.66667,1175,F5 V,9.19333
HR 2562 b,10.35533,20.3,1.11,5612,1200,F5 V,12.44
WASP-158 b,3.65651,0.08437,0.81267,6313,1303.66667,F6 V,9.10667
HD 33564 b,388,1.1,0.226,6250,794,F6 V,2.53
K2-260 b,2.62668,0.08864,0.7814,6388.6,1262.4,F6 V,8.758
TOI-201 b,52.97817,0.16713,0.75167,6416.6,717,F6 V,8.42667
WTS-1 b,3.35206,0.047,1.49,6250,1500,F6 V,16.7
CoRoT-35 b,3.22748,0.0429,1.68,6390,1747,F6 V,18.83
Qatar-10 b,1.64532,0.08628,0.7842,6001.4,1231,F7 V,8.79
HD 62364 b,10720.07562,9.43175,0.226,5933.5,794,F7 V,2.53
HD 197037 b,1035.7,2.07,0.226,6150,794,F7 V,2.53
Kepler-1660 AB b,238.59708,0.45035,0.226,5612,794,F7 V,2.53
HD 89839 b,3444.5,4.8305,0.226,5963,794,F7 V,2.53
HD 136118 b,1189.29882,2.34,0.226,5854.5,794,F7 V,2.53
HD 211403 b,223.8,0.768,0.226,6273,380,F7 V,2.53
HD 1666 b,270,0.94,0.226,6317,794,F7 V,2.53
WASP-180 A b,3.40924,0.08752,0.778,6282,1133,F7 V,8.72
KELT-16 b,0.96899,0.08465,0.7244,6150,1433.4,F7 V,8.118
TOI-1670 b,10.98415,0.10185,0.189,6311.5,975.5,F7 V,2.115
ups And d,1285.34617,2.52838,0.226,5864.54667,794,F8 V,2.53
DMPP-1 d,2.882,0.0422,0.226,6196,1632,F8 V,2.53
ups And c,240.72853,0.82771,0.226,5864.54667,794,F8 V,2.53
AF Lep b,8203.33333,8.56333,0.226,6123.33333,996,F8 V,2.53
ups And b,4.61623,0.05889,0.226,5912.46857,794,F8 V,2.53
HD 13908 c,931,2.03,0.226,6255,794,F8 V,2.53
HD 231701 b,141.61,0.55233,0.226,6158.66667,794,F8 V,2.53
HD 103891 b,1906.5,3.2625,0.226,6072,794,F8 V,2.53
HD 169830 b,226.74568,0.802,0.226,6097.565,681.75,F8 V,2.53
DMPP-1 c,6.584,0.0733,0.226,6196,1239,F8 V,2.53
HD 25171 b,1823.645,2.9955,0.226,6142.5,794,F8 V,2.53
HD 67087 c,2374,3.86,0.226,6330,794,F8 V,2.53
HD 13908 b,19.382,0.154,0.226,6255,794,F8 V,2.53
DMPP-1 e,5.516,0.0651,0.226,6196,1314,F8 V,2.53
HD 190984 b,7427.5,7.15,0.226,5988,794,F8 V,2.53
HD 67087 b,352.2,1.08,0.226,6330,794,F8 V,2.53
HD 217786 b,1307.4867,2.39933,0.226,5848,794,F8 V,2.53
DMPP-1 b,18.57,0.1462,0.226,6196,877,F8 V,2.53
TOI-5153 b,20.62044,0.12935,1.0365,6354,822.5,F8 V,11.62
HD 110082 b,10.1827,0.10685,0.2785,6176.5,875.5,F8 V,3.12
NGTS-23 b,4.07643,0.0504,1.267,6057,1327,F9 V,14.2
HD 10647 b,996.1,2.0225,0.226,6161.5,794,F9 V,2.53
NGC 2682 YBP 401 b,4.087,0.1007,0.226,6165,794,F9 V,2.53
TOI-2641 b,4.88097,0.0807,1.242,6204.5,1331.5,F9 V,13.92
WASP-166 b,5.44354,0.09155,0.43325,6115.75,1026.5,F9 V,4.855
WASP-185 b,9.38755,0.0904,1.25,5900,1160,G0 V,14.01
HD 11506 c,210.35621,0.721,0.226,5931.75,794,G0 V,2.53
HD 159243 b,12.62,0.11,0.226,6123,794,G0 V,2.53
HD 34445 c,214.67,0.7181,0.226,5836,794,G0 V,2.53
HD 187085 b,1002.87,2.075,0.226,6096,794,G0 V,2.53
HD 11506 b,1490.59003,2.653,0.226,5994.66667,794,G0 V,2.53
HD 55696 b,1766.5,3.11,0.226,6012,794,G0 V,2.53
HD 24085 b,2.0455,0.034,0.226,6034,794,G0 V,2.53
HD 96700 c,19.88,0.141,0.226,5845,794,G0 V,2.53
HD 150706 b,9497,9.1,0.226,5961,794,G0 V,2.53
HD 8535 b,1313,2.45,0.226,6136,794,G0 V,2.53
HD 17674 b,623.8,1.42,0.226,5904,794,G0 V,2.53
HD 34445 g,5700,6.36,0.226,5836,794,G0 V,2.53
HD 34445 f,676.8,1.543,0.226,5836,794,G0 V,2.53
HD 34445 e,49.175,0.2687,0.226,5836,794,G0 V,2.53
GJ 504 b,10.35533,43.5,0.226,6234,510,G0 V,2.53
HD 159243 c,248.4,0.8,0.226,6123,794,G0 V,2.53
psi1 Dra B b,3117,4.43,0.226,6212,794,G0 V,2.53
HD 34445 d,117.87,0.4817,0.226,5836,794,G0 V,2.53
HD 96700 b,8.1245,0.0777,0.226,5845,794,G0 V,2.53
HD 27969 b,654.5,1.552,0.226,5966,261,G0 V,2.53
HD 96700 d,103.5,0.424,0.226,5845,794,G0 V,2.53
HN Peg b,10.35533,773,1.051,5612,794,G0 V,11.78
XO-7 b,2.86414,0.0894,0.6872,6088.8,1099.6,G0 V,7.702
WASP-192 b,2.87867,0.08572,0.7075,5862.25,1126.25,G0 V,7.93
KELT-10 b,4.16623,0.08865,0.787,5847.75,1047.75,G0 V,8.82
HD 196067 b,3623.5,5.06,0.226,5814.5,794,G1 V,2.53
HD 147873 b,116.596,0.522,0.226,5972,794,G1 V,2.53
HD 10180 g,602.935,1.4245,0.226,5911,794,G1 V,2.53
HD 16417 b,17.24,0.14,0.226,5612,794,G1 V,2.53
HD 10180 h,2213.5,3.3905,0.226,5911,794,G1 V,2.53
HD 50499 c,9509.95,9.56,0.226,6038.55,794,G1 V,2.53
HD 147873 c,491.54,1.36,0.226,5972,794,G1 V,2.53
HD 86226 c,3.98458,0.08347,0.203,5876.33333,1170,G1 V,2.27333
TOI-169 b,2.25545,0.08433,0.631,5864.25,1220.75,G1 V,7.07
WASP-164 b,1.77713,0.0862,0.5916,5731.4,1088.2,G2 V,6.628
TOI-1422 b,12.99949,0.10435,0.348,5877,827,G2 V,3.905
HD 86226 b,1619,2.72333,0.226,5792.66667,588,G2 V,2.53
HD 44219 b,472.15,1.225,0.226,5682,794,G2 V,2.53
HD 31527 c,51.2053,0.2663,0.226,5898,794,G2 V,2.53
HD 133131 A c,3568,4.49,0.226,5799,794,G2 V,2.53
HD 222155 b,3756,4.90667,0.226,5743.66667,794,G2 V,2.53
HD 224693 b,26.7102,0.1915,0.226,5965.5,794,G2 V,2.53
HD 133131 B b,5769,6.15,0.226,5805,794,G2 V,2.53
HD 133131 A b,649,1.44,0.226,5799,794,G2 V,2.53
HD 31527 b,16.5535,0.1254,0.226,5898,794,G2 V,2.53
HD 31527 d,271.6737,0.8098,0.226,5898,794,G2 V,2.53
HD 164595 b,40,0.23,0.226,5790,794,G2 V,2.53
Kepler-539 c,1000,2.42,0.226,5820,253,G2 V,2.53
HD 88986 b,146.05,0.58,0.222,5861,460,G2 V,2.49
K2-238 b,3.20469,0.08247,0.584,5534,1058.33333,G2 V,6.54333
K2-292 b,16.9841,0.13,0.235,5725,795,G3 V,2.63
HD 210193 b,649.918,1.487,0.226,5790,794,G3 V,2.53
HD 189567 c,33.688,0.197,0.226,5726,794,G3 V,2.53
HD 220689 b,2251.8,3.39633,0.226,5921,794,G3 V,2.53
HD 189567 b,14.288,0.111,0.226,5726,794,G3 V,2.53
TOI-5542 b,75.12423,0.21635,1.1205,5546.45,451.5,G3 V,12.56
CoRoT-30 b,9.06005,0.0844,1.009,5650,794,G3 V,11.31
HD 108236 b,3.79594,0.07339,0.1625,5710.9675,939.75,G3 V,1.82
CoRoT-22 b,9.75598,0.092,0.435,5939,885,G3 V,4.88
HD 108236 d,14.17575,0.10547,0.23225,5710.9675,746.75,G3 V,2.6
HD 37124 b,125.29067,0.52959,0.226,5629.328,794,G4 V,2.53
HD 109286 b,520.1,1.259,0.226,5694,259,G4 V,2.53
Kepler-129 d,2290.78566,3.63057,0.226,5691,794,G4 V,2.53
NGTS-17 b,3.24253,0.0391,1.24,5650,1457,G4 V,13.9
Kepler-38 b,105.599,0.4632,0.384,5623,475,G4 V,4.3
HD 74698 b,15.017,0.121,0.226,5783,794,G5 V,2.53
HD 204313 e,17162.82333,12.6785,0.226,5689.5,794,G5 V,2.53
HD 134987 c,5480,6.21,0.226,5642.89,794,G5 V,2.53
HD 204313 b,1981.06923,3.12533,0.226,5744.16667,794,G5 V,2.53
HD 159868 c,351.65,1.016,0.226,5546,794,G5 V,2.53
NGC 2682 YBP 1194 b,6.959,0.1007,0.226,5780,794,G5 V,2.53
HD 154857 c,3452,5.36,0.226,5605,794,G5 V,2.53
HD 74698 c,3449,4.5,0.226,5783,794,G5 V,2.53
HD 167677 b,1812,2.8885,0.226,5543,794,G5 V,2.53
